1480;ICED CHOCOLATE;UN;01/05/21;08:57:55;1/00016576;1,0;        11,0;0,0;        0,0;11,0
1011;CREAM PASTRY;UN;01/05/21;08:57:55;1/00016576;1,0;        8,5;0,0;        0,0;8,5
1020;BRAZILIAN PASTRY;UN;01/05/21;08:57:55;1/00016576;1,0;        6,0;0,0;        0,0;6,0
1033;CHEESE BREAD;KG;01/05/21;08:57:55;1/00016576;0,04;        39,9;0,0;        0,0;1,6
1626;PORTUGUESE BELEN PASTRY;UN;01/05/21;08:57:55;1/00016576;1,0;        7,0;0,0;        0,0;7,0
Total;;;01/05/21;08:57:55;1/00016576;5,04;        ;0,0;        0,0;47,1
;;;01/05/21;08:57:55;1/00016576;;        ;;        ;
1038;GRILLED BUTTER BAGUETTE;UN;01/05/21;09:06:05;1/00016577;1,0;        4,0;0,0;        0,0;4,0
1506;GRILLED CHEESE BAGUETTE;UN;01/05/21;09:06:05;1/00016577;1,0;        5,5;0,0;        0,0;5,5
1413;MACHIATTO COFFEE;UN;01/05/21;09:06:05;1/00016577;1,0;        7,0;0,0;        0,0;7,0
1472;MOCHA COFFEE;UN;01/05/21;09:06:05;1/00016577;1,0;        12,5;0,0;        0,0;12,5
1152;ORANGE JUICE;UN;01/05/21;09:06:05;1/00016577;1,0;        8,0;0,0;        0,0;8,0
1040;GRILLED HAM AND CHEESE;UN;01/05/21;09:06:05;1/00016577;1,0;        6,0;0,0;        0,0;6,0
Total;;;01/05/21;09:06:05;1/00016577;6,0;        ;0,0;        0,0;43,0
;;;01/05/21;09:06:05;1/00016577;;        ;;        ;
1042;BAGUETTE;KG;01/05/21;09:19:01;1/00016578;0,355;        11,9;0,0;        0,0;4,22
Total;;;01/05/21;09:19:01;1/00016578;0,355;        ;0,0;        0,0;4,22
;;;01/05/21;09:19:01;1/00016578;;        ;;        ;
1147;ESPRESSO WITH LATTE;UN;01/05/21;09:19:39;1/00016579;1,0;        6,5;0,0;        0,0;6,5
1002;PATTY;UN;01/05/21;09:19:39;1/00016579;1,0;        6,0;0,0;        0,0;6,0
1033;CHEESE BREAD;KG;01/05/21;09:19:39;1/00016579;0,085;        39,9;0,0;        0,0;3,39
Total;;;01/05/21;09:19:39;1/00016579;2,085;        ;0,0;        0,0;15,89
;;;01/05/21;09:19:39;1/00016579;;        ;;        ;
1148;ESPRESSO WITH LATTE BIG;UN;01/05/21;09:21:30;1/00016580;1,0;        7,5;0,0;        0,0;7,5
1149;CAPUCCINO;UN;01/05/21;09:21:30;1/00016580;1,0;        13,0;0,0;        0,0;13,0
1040;GRILLED HAM AND CHEESE;UN;01/05/21;09:21:30;1/00016580;2,0;        6,0;0,0;        0,0;12,0
Total;;;01/05/21;09:21:30;1/00016580;4,0;        ;0,0;        0,0;32,5
;;;01/05/21;09:21:30;1/00016580;;        ;;        ;
1034;STICK CHEESE BREAD;KG;01/05/21;09:23:24;1/00016581;0,08;        42,9;0,0;        0,0;3,43
1473;SOUTH FRIED CAKE WITH CINNAMON;KG;01/05/21;09:23:24;1/00016581;0,29;        36,9;0,0;        0,0;10,7
1042;BAGUETTE;KG;01/05/21;09:23:24;1/00016581;0,115;        11,9;0,0;        0,0;1,37
Total;;;01/05/21;09:23:24;1/00016581;0,485;        ;0,0;        0,0;15,5
;;;01/05/21;09:23:24;1/00016581;;        ;;        ;
1626;PORTUGUESE BELEN PASTRY;UN;01/05/21;09:42:30;1/00016582;2,0;        7,0;0,0;        0,0;14,0
1001;BRIOCHE;KG;01/05/21;09:42:30;1/00016582;0,1;        54,9;0,0;        0,0;5,49
1001;BRIOCHE;KG;01/05/21;09:42:30;1/00016582;0,06;        54,9;0,0;        0,0;3,29
1147;ESPRESSO WITH LATTE;UN;01/05/21;09:42:30;1/00016582;2,0;        6,5;0,0;        0,0;13,0
1038;GRILLED BUTTER BAGUETTE;UN;01/05/21;09:42:30;1/00016582;1,0;        4,0;0,0;        0,0;4,0
1039;GRILLED HAM AND CHEESE WITH TOMATO;UN;01/05/21;09:42:30;1/00016582;1,0;        6,5;0,0;        0,0;6,5
Total;;;01/05/21;09:42:30;1/00016582;6,16;        ;0,0;        0,0;46,28
;;;01/05/21;09:42:30;1/00016582;;        ;;        ;
1033;CHEESE BREAD;KG;01/05/21;09:50:40;1/00016583;0,155;        39,9;0,0;        0,0;6,18
1042;BAGUETTE;KG;01/05/21;09:50:40;1/00016583;0,295;        11,9;0,0;        0,0;3,51
1000;MISCELLANEOUS;DV;01/05/21;09:50:40;1/00016583;1,0;        9,99;0,0;        0,0;9,99
1577;EGG KINDER CHOCOLATE;UN;01/05/21;09:50:40;1/00016583;2,0;        8,9;0,0;        0,0;17,8
1192;BASTON CHOCOLATE;UN;01/05/21;09:50:40;1/00016583;1,0;        1,5;0,0;        0,0;1,5
Total;;;01/05/21;09:50:40;1/00016583;4,45;        ;0,0;        0,0;38,98
;;;01/05/21;09:50:40;1/00016583;;        ;;        ;
1147;ESPRESSO WITH LATTE;UN;01/05/21;09:59:46;1/00016584;2,0;        6,5;0,0;        0,0;13,0
1506;GRILLED CHEESE BAGUETTE;UN;01/05/21;09:59:46;1/00016584;1,0;        5,5;0,0;        0,0;5,5
1020;BRAZILIAN PASTRY;UN;01/05/21;09:59:46;1/00016584;1,0;        6,0;0,0;        0,0;6,0
1021;GOURMET DRUMSTICK;UN;01/05/21;09:59:46;1/00016584;2,0;        6,0;0,0;        0,0;12,0
Total;;;01/05/21;09:59:46;1/00016584;6,0;        ;0,0;        0,0;36,5
;;;01/05/21;09:59:46;1/00016584;;        ;;        ;
1936;FUBA CREAMED CAKE;KG;01/07/21;14:18:39;1/00020191;0,245;        39,9;0,0;        0,0;9,78
1014;MORTADELLA PIE;KG;01/07/21;14:18:39;1/00020191;0,275;        48,0;0,0;        0,0;13,2
1001;BRIOCHE;KG;01/07/21;14:18:39;1/00020191;0,14;        64,9;0,0;        0,0;9,09
2163;YOGURT PIE;KG;01/07/21;14:18:39;1/00020191;0,145;        68,0;0,0;        0,0;9,86
Total;;;01/07/21;14:18:39;1/00020191;0,805;        ;0,0;        0,0;41,93
